tweets,labels,predictions
"Got my disenfectant from Amazon.According to the EPA Quaternery ammoniun kills coronavirus. (Not for skin but surfaces). Also, it is 1 tablet for  1.5 gallon. that is 150 gallons of product.  I was sick and tired of looking for disenfectant spray and now I have it. #COVID19",ammoniun kills coronavirus. (Not for skin but surfaces.,Quaternery ammoniun kills coronavirus.it is 1 tablet for 
"Protect yourself against #COVID19 with common-sense precautions like proper hand-washing and surface disinfection techniques. Beware of people selling “cure-all” remedies and vaccines, and remember ... if it sounds too good to be true, it probably is",Beware of people selling “cure-all” remedies and vaccines.,protect yourself against #COVID19 with common-sense precautions like proper hand-washing
breaking there have now been more than 100000 coronavirus cases worldwide 3398 people have died of covid19 and 55672 people have recovered,there have now been more than 100000 coronavirus cases worldwide 3398 people have died of covid19 and 55672 people have recovered.,there have now been more than 100000 coronavirus cases worldwide 3398 people have
Why are we still shut down? We have a treatment for #COVID19 - hydroxychloroqiun + Zpac or Zinc.  99% cure rate.  How is it different than treating flu with Tamiflu? Serious questions,We have a treatment for #COVID19 - hydroxychloroqiun + Zpac or Zinc.99% cure rate.,We have a treatment for #COVID19 - hydroxychloroqiun +
"I would not mind being infected with #coronavirus, and I get immune to it.
I think I will not die though I get infected",I will not die though I get infected.,"I would not mind being infected with #coronavirus, and I get immune"
"When do these women start pledging to get Constitutional equality for women? It is impossible to get equal pay without the #ERA. It is impossible to shift the rape culture without #ERA. WAKE UP 35 States allow police to rape someone in their custody & claim it was consensual. pic.twitter.com/TwxP6TKP1a — Rethinking Eve (@RethinkingEve) February 8, 2018",It is impossible to get equal pay without the #ERA.It is impossible to shift the rape culture without #ERA.States allow police to rape someone in their custody & claim it was consensual.,It is impossible to get equal pay without the #ERA.35 States allow police to
@DerrickByford @afneil Because there is no cure or vaccine for Covid-19. You can provide some protection from by the flu vaccine,there is no cure or vaccine for Covid-19.You can provide some protection from by the flu vaccine.,there is no cure or vaccine for Covid-19.
"@Lostinram @QueenDandelion2 Yeah it is an infusion of plasma containing the appropriate #Covid19 antibodies, it would do both: prevent AND cure.  This is why Boris Johnson lives to be stupid another day, and why The Hate Yam wears a smug 'duping-delight' smile as he says he will not take precautions. #Antibodies",Yeah it is an infusion of plasma containing the appropriate #Covid19 antibodies.it would do both: prevent AND cure.,"it is an infusion of plasma containing the appropriate #Covid19 antibodies, it"
"#VIDEO: The circling area around Holy Kaaba at the Holy Mosque in #Makkah was emptied of people temporarily in order to clean and sterilize it, due to #Coronavirus fears and to insure the safety of pilgrims",The circling area around Holy Kaaba at the Holy Mosque in #Makkah was emptied of people temporarily in order to clean and sterilize it.,The circling area around Holy Kaaba at the Holy Mosque in #Makkah
"This is El Paso right now, where hundreds of migrant families are being held in the parking lot of a Border Patrol station because there is no room for them inside, or anywhere else. pic.twitter.com/lFGZ9zRcZk — Nick Miroff (@NickMiroff) March 27, 2019","This is El Paso right now, where hundreds of migrant families are being held in the parking lot of a Border Patrol station.",Hundreds of migrant families are being held in the parking lot of a Border Patrol station because
"If you have seen the breathing technique that has gone viral after being tweeted by @jk_rowling as a 'cure' for coronavirus, please note that @TheACPRC does not support it and it can be harmful in some cases #covid19 #breathingtechnique #coronavirus",@TheACPRC does not support it.it can be harmful in some cases #covid19.,@TheACPRC does not support it and it can be harmful in some cases
"According Purdue University's president, young people are all but immune to COVID 19 as it poses little to no threat to its young student population.

https://t.co/sfqR7oCpLl

#covid19 #covid #coronavirus #coronaviruspandemic #coronavirusUSA #coronavirusacademia",young people are all but immune to COVID 19.,young people are all but immune to COVID 19 as it poses little to no threat
"@LaraLiberal @veeveecastle @PalmerReport Now he thinks you should definitely drink desinfectant to cure #Covid19.
Next thing will be sulphuric acid I guess",drink desinfectant to cure #Covid19.,drink desinfectant to cure #Covid19.Next thing will be
"Does China think the world is dumb? You created a bio weapon in a LAB. You stopped people getting into Wuhan but they could leave, 2 missing weeks from your timeline, 5000 urns mysteriously showing up and the WHO in your back pocket. China Virus China Lied People Die #coronavirus",You created a bio weapon in a LAB.You stopped people getting into Wuhan but they could leave.2 missing weeks from your timeline.5000 urns mysteriously showing up.,You created a bio weapon in a LAB.You stopped people getting into Wuh
"I have better things to drink, thank you!! When Lysol themselves is saying please stop, there is a problem. “Reminder: Lysol disinfectant and hygiene products should only be used as directed and in line with usage guidelines”....#whatswrongwithsomepeople #coronavirus",Lysol disinfectant and hygiene products should only be used as directed and in line with usage guidelines.,Lysol disinfectant and hygiene products should only be used as directed and in line
"@Trump417 @RogerKinney8 @howroute @TedLandK5 Because this is just a flu... or at least because everyone, including media, CDC, etc said so in order to not create panic, so health care professionals did not take it seriously. This will change, but you will see many more misses",Because this is just a flu.,this is just a flu.
"RT @STForeignDesk: US developing vaccine, urges more cooperation from China",US developing vaccine.,"US developing vaccine, urges more cooperation from China."
@Breaking911 I call BS just search twitter for wuhan. This is bigger than they are reporting. How many are dying at home? People are dropping like flies. Wuhan is the epicenter for the worlds most dangerous pathogens. Is this a test for biowarfare,People are dropping like flies.Wuhan is the epicenter for the worlds most dangerous pathogens.,Wuhan is the epicenter for the worlds most dangerous pathogens.
"@RahulGandhi 1Trump:Drink Lysol/Dettol to get cured frm Coronavirus Outbreak 
2Modi: BANG THALIS, LIT DIYAS &amp; MOMBATTI TO GET CURED FRM CORONA VIRUS

BHAKTS",":Drink Lysol/Dettol to get cured frm Coronavirus Outbreak.BANG THALIS, LIT DIYAS &amp; MOMBATTI TO GET CURED FRM CORONA VIRUS.",:Drink Lysol/Dettol to get cured frm Coronav
"NIMH Whistleblower: US &amp; China Collaborated to Make a Deadly #Coronavirus™ :  Peter Breggin MD

Confirmsg that US &amp; China Collaborated to Make a Deadly #Coronavirus

Evidence Dr Fauci knew it was being developed as a #bioweapon.

https://t.co/Mbwdl3RRHz

@99freemind",US &amp; China Collaborated to Make a Deadly #Coronavirus.Dr Fauci knew it was being developed as a #bioweapon.,US &amp; China Collaborated to Make a Deadly #Coronavirus.
"When the president gives the order to launch a nuclear weapon, that is it. The officer has to launch. It can take as little as four minutes. — Hillary Clinton (@HillaryClinton) October 20, 2016","When the president gives the order to launch a nuclear weapon, that is it. The officer has to launch.","When the president gives the order to launch a nuclear weapon, that is it."
@JoeSilverman7 @Mark_E_Noonan 🤔Both are immune to #Covid19 because they are taking #HCQ,🤔Both are immune to #Covid19 because they are taking #HCQ.,🤔Both are immune to #Covid19 because they are taking #
"The look of the White House Italian translator as Trump says President Mozzarella for the Italian President and says you.S. and Italy have been allies since Ancient Rome. Hot fucking damn pic.twitter.com/ecrIaRFvOI — Danny Keetz, Drunk Assistant to the GM (@DKeetz) October 16, 2019",you.S. and Italy have been allies since Ancient Rome.,Trump says President Mozzarella for the Italian President and says you.S. and
i attended the amvca on the 14th of march at eko hotel even the after party i decided to isolate myself a day after when a rumor began early morning work outs daily in my room i obeyed the 14 days isolation period day 9 now love and light guys covid19out,i attended the amvca on the 14th of march at eko hotel.i decided to isolate myself a day after when a rumor began.,i attended the amvca on the 14th of march at eko hotel even
Another case for more testing for #coronavirus! Blood tests show 14% of people are now immune to covid-19 in one town in Germany,Blood tests show 14% of people are now immune to covid-19 in one town in Germany.,14% of people are now immune to covid-19 in one town in Germany
"https://t.co/8bBhQHQZSQ
 
 Chinese state agitprop now claims you.S. withdrew from a bioweapons treaty in 2001 in order to develop and release SARS in China in 2003. Oh, and we also used invisible drones to kill millions of Chinese pigs. 
 
 Beijing is becoming Insanity Central",you.S. withdrew from a bioweapons treaty in 2001 in order to develop and release SARS in China in 2003.we also used invisible drones to kill millions of Chinese pigs.,Chinese state agitprop now claims you.S. withdrew from a bioweapons
Chinese spies brought it back to the bio weapons lab in Wuhan. There they perfected the plan to bring down the US &amp; make a ”killing” collaborating with Bill Gates on a vaccine,Chinese spies brought it back to the bio weapons lab in Wuhan.they perfected the plan to bring down the US &amp; make a ”killing” collaborating with Bill Gates on a vaccine.,Chinese spies brought it back to the bio weapons lab in Wuhan.There they
"Police in Danville, Virginia are putting the hoods of their cars up when they pull people over to block the dash cameras from filming them. pic.twitter.com/oCwQglQTXg — Shaun King (@ShaunKing) September 26, 2016","Police in Danville, Virginia are putting the hoods of their cars up when they pull people over to block the dash cameras from filming them.","Police in Danville, Virginia are putting the hoods of their cars up when they"
Why Chinese people were so immune to Chinese Virus19 #COVID19. Wondering how it only spread majorly in Wuhan and not in rest of China. China Lied People Died . China's low death rate stats since beginning was misleading. Why WHO is silent. #WHOLiedPeopleDied,it only spread majorly in Wuhan and not in rest of China.China's low death rate stats since beginning was misleading.,Chinese people were so immune to Chinese Virus19 #COVID19.it only spread
"Indeed!
#Wuhan n CoV outbreak resulted in the WORLD fighting &amp; people dying; for China’s UNFORGIVABLE failure in containing an bioweapon grade outbreak!
They LIED to the world as they sealed in 1000s of citizens in tower blocks!🤯
#Covid19 Made in China - given FREE to the World",#Wuhan n CoV outbreak resulted in the WORLD fighting &amp; people dying; for China’s UNFORGIVABLE failure in containing an bioweapon grade outbreak.,#Wuhan n CoV outbreak resulted in the WORLD fighting &amp; people
"@limbaugh  Herd Immunity in #California ... We experienced herd immunity in So Cal :Mom-age 93 had #COVID19 in mid December as did a friend-age 86,son-age30, grandson-9. We spent time together and no one else got sick. Mom has been gallivanting but now immune",We experienced herd immunity in So Cal.Mom has been gallivanting but now immune.,:Mom-age 93 had #COVID19 in mid December as did a friend
"Other than a cure for #coronavirus, @SenSanders withdrawal and endorsement of @JoeBiden is the best #Passover2020 Miracle",@SenSanders withdrawal and endorsement of @JoeBiden is the best #Passover2020 Miracle.,@SenSanders withdrawal and endorsement of @JoeBiden is the best #Passover
"In the 2 front war that is #Coronavirus, the good news would be along the lines of treatment methods, cures and vaccines. The prospect of them is unknown. The other improvement is reducing the ""curve"" and that is unclear. In other words, good news is unpredictable. $SPX $NDX $IWM","The other improvement is reducing the ""curve"" and that is unclear.","In the 2 front war that is #Coronavirus, the good news would"
"Unless there is any verified cure, it is better to focus on #immunity. Foods such as fish oil, fruits &amp; vegetables should be included in the #diet. Apart from that, cold-causing food items such as ice-cream and cold drinks should be avoided. 
Healthy At Home #Coronavirus #COVID19","Unless there is any verified cure, it is better to focus on #immunity.","Foods such as fish oil, fruits &amp; vegetables should be included in the"
#COVID19: Natural Honey and Organic unpasteurised Cider Vinegar Hot Drink is a home remedy when having symptoms this unknown enemy. This is a genuine testimony,Natural Honey and Organic unpasteurised Cider Vinegar Hot Drink is a home remedy when having symptoms this unknown enemy.,Natural Honey and Organic unpasteurised Cider Vinegar Hot Drink is a home
Covid-19 vaccine developed in China said to be able to neutralize 10 viruses,Covid-19 vaccine developed in China said to be able to neutralize 10 viruses.,Covid-19 vaccine developed in China said to be able to neutralize 10
"#coronavirus #coronoavirus 
A Doctor From Tamil Nadu Has Claimed That They Can Cure The Coronavirus. Coronavirus Medicine Has Made From Herbal Medicines. Which Is Capable Of Curing",A Doctor From Tamil Nadu Has Claimed That They Can Cure The Coronavirus.Coronavirus Medicine Has Made From Herbal Medicines. Which Is Capable Of Curing.,A Doctor From Tamil Nadu Has Claimed That They Can Cure The Coronavirus
"A young boy from my hometown has recently been told he has only weeks to live after battling cancer for about 8 years. His only wish is to receive Christmas cards from all over the world so please help show Maddox some love and let us overwhelm him with wishes. #maddoxstrong 🙏🏼🙏🏼 pic.twitter.com/i66soZ5L9X — Paul Butler (@_Paul_Butler_) November 27, 2018",A young boy from my hometown has recently been told he has only weeks to live after battling cancer for about 8.,A young boy from my hometown has recently been told he has only weeks to live after
"Virus Linked To Convert Bio-Weapons Program. Chinese lab near seafood market suspected as origin of illness - https://t.co/OSDYa0iv3W @BillGertz

#frontpagestoday #USA The Washington Times #buyapaper",Virus Linked To Convert Bio-Weapons Program.Chinese lab near seafood market suspected as origin of illness.,Virus Linked To Convert Bio-Weapons Program.Chinese lab near seafood market suspected
"@NYGovCuomo Good. that is the least that China can do since they unleashed a bioweapon on the world from their Wuhan Lab. Remember, China committed homicide on every New Yorker who dies of the #Coronavirus",that is the least that China can do since they unleashed a bioweapon on the world from their Wuhan Lab.China committed homicide on every New Yorker who dies of the #Coronavirus.,China can do since they unleashed a bioweapon on the world from their Wuh
"GUYS I THOUGHT IT WAS JUST A FLU, THE NEWS SAID WE did not HAVE TO WORRY #coronavirus",IT WAS JUST A FLU.THE NEWS SAID WE did not HAVE TO WORRY.,IT WAS JUST A FLU.
germany is conducting 160k covid19 tests a week it has a total 35k ventilators 10k ordered to be made by the govt it has converted a new 1k bed hospital in berlin its death rate is tiny bcos its mass testing allows quarantine and bcos it has fewer non reported cases,germany is conducting 160k covid19 tests a week it has a total 35k ventilators 10k ordered to be made by the govt it has converted a new 1k bed hospital in berlin.its death rate is tiny.,germany is conducting 160k covid19 tests a week.it has a
these 3 faces will become the most hated in us history they are traitors to our nation democracy and the constitution votebluetoendthisnightmare,they are traitors to our nation democracy and the constitution.,these 3 faces will become the most hated in us history.they are traitors to
"what is more, people infected with #COVID19 are not producing strong immune responses and there are at least 30 variants of this virus - meaning there may not be ‘herd immunity",people infected with #COVID19 are not producing strong immune responses.there are at least 30 variants of this virus.,people infected with #COVID19 are not producing strong immune responses.there are at
"$CODX well hope they find a cure soon even if you survive getting the Coronavirus you could
Have permanent damage to your lungs","if you survive getting the Coronavirus you could
Have permanent damage to your lungs.","if you survive getting the Coronavirus you could
Have permanent damage to your"
"There is no cure for stupidity. 🙄😱 “The #coronavirus has nothing to do with Corona #beer. But, some people seem to think so.” #FAIL https://t.co/D8RZpUu12D via @USATODAY",🙄😱“The #coronavirus has nothing to do with Corona #beer.,“The #coronavirus has nothing to do with Corona #beer.
"I am taking #coronavirus preventive measures now. In a few minutes I will inject and drink this @Lysol toilet bowl cleaner which kills ""99.9% of viruses and bacteria**."" What really sold me on this is the 10X cleaning power. I will provide regular updates on progress","I am taking #coronavirus preventive measures now.I will inject and drink this @Lysol toilet bowl cleaner which kills ""99.9% of viruses and bacteria.this is the 10X cleaning power.",In a few minutes I will inject and drink this @Lysol toilet bowl cleaner
Who tf is spreading this rumour now that you can cure coronavirus by drinking Coronas 😂 lol Sharabis,you can cure coronavirus by drinking Coronas.,cure coronavirus by drinking Coronas.
DAILY EXPRESS - #Coronavirus cure: Anti-viral drug reduces fever and clears pneumonia symptoms,#Coronavirus cure: Anti-viral drug reduces fever and clears pneumonia symptoms.,Anti-viral drug reduces fever and clears pneumonia symptoms.
RT @Ju_slaps: If you smoked reggie out of a beer can in high school you are immune to coronavirus,If you smoked reggie out of a beer can in high school you are immune to coronavirus.,If you smoked reggie out of a beer can in high school you are immune to
"@NMACCommunity @PrEPSQUADDC Without hope, we have nothing!  The only real hope of ending the epidemic is a cure; especially for those who have stage3-HIV. 💔
#CommitToACure","Without hope, we have nothing.The only real hope of ending the epidemic is a cure.",The only real hope of ending the epidemic is a cure.
"#Nazi collaborator George Soros in his own words, while other Jews his age had died fighting Nazis in the Warsaw Ghetto… pic.twitter.com/xXp9JYQZts — James Woods (@RealJamesWoods) August 18, 2017",other Jews his age had died fighting Nazis in the Warsaw Ghetto.,"#Nazi collaborator George Soros in his own words, while other Jews his age had died"
@SaraCarterDC Why has not anyone asked why it is necessary to “research” deadly biowarfare viruses in a lab ? These are to kill people - calling it research is a smokescreen. And we give money to do this in China? #coronavirus #biowarfare,These are to kill people - calling it research is a smokescreen.,These are to kill people.we give money to do this in China.
"michael savage who has more viewers then all media alt left,is fired because he mentions hillary clintons health. 1st amendments dead,rise up — HKTK Planet (@HKTKplanet) September 28, 2016","michael savage who has more viewers then all media alt left,is fired because he mentions hillary clintons health.","michael savage who has more viewers then all media alt left,is fired because he"
"We are still not sure whether having had coronavirus you are immune to #COVID19 ? Nothing is yet certain. Hence attempt at Herd Immunity was so irresponsible &amp; dangerous, &amp; not following the science because there was no science too follow?! @Channel4News",attempt at Herd Immunity was so irresponsible &amp; dangerous.,having had coronavirus you are immune to #COVID19.
"DONNA WARREN

Get this straight .

The new official story is the BIO LAB located in Wuhan, CHINA at 666 Goaxin Road, which is owned in part by GEORGE SOROS, just happened to release #Coronavirus on the world ACCIDENTALLY and it is was in no way a BIO WEAPON or PLANNED. 

Got it","the BIO LAB located in Wuhan, CHINA at 666 Goaxin Road, which is owned in part by GEORGE SOROS, just happened to release #Coronavirus on the world ACCIDENTALLY and it is was in no way a BIO WEAPON or PLANNED.",the BIO LAB located in Wuhan.
"If you have ever eaten a crab rangoon during a Bassnectar set, you are immune to the coronavirus","If you have ever eaten a crab rangoon during a Bassnectar set, you are immune to the coronavirus.","If you have ever eaten a crab rangoon during a Bassnectar set, you"
"@toyinomotoso In these times of covid-19 where there is no vaccine or cure yet. WHO recommends that the best way to fight the virus is by boosting your immune system. 
I have great news for you.
Fruit flavoured water bottle helps with keeping your immune system intact. It is made in such a way",the best way to fight the virus is by boosting your immune system.Fruit flavoured water bottle helps with keeping your immune system intact.,the best way to fight the virus is by boosting your immune system.Fruit flav
"@JoeBiden He just suggested people inject some kind of “disinfectant” to cure #COVID19 so no, this is not the lowest",He just suggested people inject some kind of “disinfectant” to cure #COVID19.,inject some kind of “disinfectant” to cure #COVID
"@obamagate22 So the virus is fake eh? Regardless of its origins, something made me very ill in March and I had all the symptoms of Covid. Lucky to still be here thank you very much. Your sympathy is welcomed. Fake Pandemic #COVIDIDIOTS #COVID19",So the virus is fake.,the virus is fake.
"so how about this i promise to give 2 million dollars to senator susan collins and 2 million to senator jeff flake if they vote NO NO I WILL NOT KILL AMERICANS FOR THE SUOER RICH  DM me susan DM me jeff  no shit 2 million casheach — ROSIE (@Rosie) December 20, 2017",i promise to give 2 million dollars to senator susan collins and 2 million to senator jeff flake if they vote NO NO I WILL NOT KILL AMERICANS FOR THE SUOER RICH.,i promise to give 2 million dollars to senator susan collins and 2 million to
"@RealSaavedra They spread the cirus on purpose, that is bioweapon. China Virus","They spread the cirus on purpose, that is bioweapon.",They spread the cirus on purpose.that is bioweapon.
"Prevention they say, is better than cure.

It is in our power to slow and stop the spread of this virus.

Maintain social distancing! #coronavirus Stay At Home And Stay Safe #COVID19 #staysafe",It is in our power to slow and stop the spread of this virus.,"Prevention they say, is better than cure.It is in our power to slow"
hearing rumors that the swamp is trying to tie longterm fisa reauthorization to emergency funding to fight the coronavirus this should not happen fisa process was abused to spy on we need real reform not political games,the swamp is trying to tie longterm fisa reauthorization to emergency funding to fight the coronavirus.,the swamp is trying to tie longterm fisa reauthorization to emergency funding to
"VIDEO: Ronda Rousey Found Dead in Venice Residence (Possible Suicide) – USA Today News https://t.co/iXoun6OOrL  — Pressplay (@wesaypressplay) January 3, 2017",Ronda Rousey Found Dead in Venice Residence.,Ronda Rousey Found Dead in Venice Residence (Possible Suicide.
"@BenedictineSis the waters with salt water washes the rocks, @Pontifex and nature and natural behaviour cures society from Pandemic COVID-19. Told to leave this area by @QldPolice ‘as air is not essential’. Will police be carriers then? To entertain with panic is not charity",@Pontifex and nature and natural behaviour cures society from Pandemic COVID-19.,"the waters with salt water washes the rocks, @Pontifex and nature and"
"they have miss diagnosed #COVIDー19 as a pneumonia disease when its actually hypoxemia! #COVID19 has all of the symptoms of hypoxemia &amp; my independent research points to it now can the Scientists, Virologist, Doctors and others get to this conclusion as soon as possible to save lifes",#COVIDー19 as a pneumonia disease when its actually hypoxemia.,#COVID19 has all of the symptoms of hypoxemia &amp.
"I wonder would "":white #vinegar"" be useful as a sanitizer in hand washing against #coronavirus if in some cases soap or hand sanitiser is not available ❓❓❓... misha",""":white #vinegar"" be useful as a sanitizer in hand washing against #coronavirus.",""":white #vinegar"" be useful as a sanitizer in hand washing"
"James Rickards argues COVID-19 Came From Chinese Biowarfare Lab https://t.co/EBNj0aSYZd I am warning Putin and Xi are partnering - Putin's aspirations to dominate world as a SuperPower that Russia is not - Napoleon complex (shared by Fauci, Bloomberg) @realDonaldTrump #coronavirus",COVID-19 Came From Chinese Biowarfare Lab.Putin and Xi are partnering.,COVID-19 Came From Chinese Biowarfare Lab.
"@CTVNews The question should have been; "" After the Coronavirus was stolen from the Winnipeg Virology lab by two Chinese dissidents and sent to Wuhan(home of China's secret bio-weapons lab), what actions were taken by the Trudeau gov. to ensure a vaccine was ready if they weaponized it",the Coronavirus was stolen from the Winnipeg Virology lab by two Chinese dissidents and sent to Wuhan.,Coronavirus was stolen from the Winnipeg Virology lab by two Chinese dissidents and
"Top 10 Trump quotes:
1. #coronavirus is fake""
2. ""I am the chosen one""
3. ""I am, like, really smart""
4. ""I call her Pocahontas""
5. ""Impeachment is a hoax""
6. ""No quid pro quo""
7. ""No collusion""
8. ""I am a stable genius""
9. ""Climate change is a hoax""
10. ""Windmills because cancer","#coronavirus is fake.""I am the chosen one.""I call her Pocahontas.""Impeachment is a hoax.""I am a stable genius.""Climate change is a hoax.","#coronavirus is fake.""I am the chosen one."
"@An0nAKn0wledge #Wuhan has a bioweapons lab with a you.S. patented #COVID19. 
Chinese, Russian &amp; Iranian Govt. officials have all said this was a you.S. Bio Warfare attack for worldwide economic &amp; technological domination",#Wuhan has a bioweapons lab with a you.S. patented #COVID19.,#Wuhan has a bioweapons lab with a you.S. patented
