tweets,labels,predictions
"@NYGovCuomo Good. that is the least that China can do since they unleashed a bioweapon on the world from their Wuhan Lab. Remember, China committed homicide on every New Yorker who dies of the #Coronavirus",that is the least that China can do since they unleashed a bioweapon on the world from their Wuhan Lab.China committed homicide on every New Yorker who dies of the #Coronavirus.,China committed homicide on every New Yorker who dies of the #Corona
"GUYS I THOUGHT IT WAS JUST A FLU, THE NEWS SAID WE did not HAVE TO WORRY #coronavirus",IT WAS JUST A FLU.THE NEWS SAID WE did not HAVE TO WORRY.,I THOUGHT IT WAS JUST A FLU.WE did not HAVE TO
germany is conducting 160k covid19 tests a week it has a total 35k ventilators 10k ordered to be made by the govt it has converted a new 1k bed hospital in berlin its death rate is tiny bcos its mass testing allows quarantine and bcos it has fewer non reported cases,germany is conducting 160k covid19 tests a week it has a total 35k ventilators 10k ordered to be made by the govt it has converted a new 1k bed hospital in berlin.its death rate is tiny.,germany is conducting 160k covid19 tests a week.it has a total
"what is more, people infected with #COVID19 are not producing strong immune responses and there are at least 30 variants of this virus - meaning there may not be ‘herd immunity",people infected with #COVID19 are not producing strong immune responses.there are at least 30 variants of this virus.,people infected with #COVID19 are not producing strong immune responses.there are
"I am taking #coronavirus preventive measures now. In a few minutes I will inject and drink this @Lysol toilet bowl cleaner which kills ""99.9% of viruses and bacteria**."" What really sold me on this is the 10X cleaning power. I will provide regular updates on progress","I am taking #coronavirus preventive measures now.I will inject and drink this @Lysol toilet bowl cleaner which kills ""99.9% of viruses and bacteria.this is the 10X cleaning power.",I am taking #coronavirus preventive measures now.In a few minutes I
"@NMACCommunity @PrEPSQUADDC Without hope, we have nothing!  The only real hope of ending the epidemic is a cure; especially for those who have stage3-HIV. 💔
#CommitToACure","Without hope, we have nothing.The only real hope of ending the epidemic is a cure.",The only real hope of ending the epidemic is a cure.
"@toyinomotoso In these times of covid-19 where there is no vaccine or cure yet. WHO recommends that the best way to fight the virus is by boosting your immune system. 
I have great news for you.
Fruit flavoured water bottle helps with keeping your immune system intact. It is made in such a way",the best way to fight the virus is by boosting your immune system.Fruit flavoured water bottle helps with keeping your immune system intact.,the best way to fight the virus is by boosting your immune system.Fight flavoure
"James Rickards argues COVID-19 Came From Chinese Biowarfare Lab https://t.co/EBNj0aSYZd I am warning Putin and Xi are partnering - Putin's aspirations to dominate world as a SuperPower that Russia is not - Napoleon complex (shared by Fauci, Bloomberg) @realDonaldTrump #coronavirus",COVID-19 Came From Chinese Biowarfare Lab.Putin and Xi are partnering.,COVID-19 Came From Chinese Biowarfare Lab.Putin and
"Top 10 Trump quotes:
1. #coronavirus is fake""
2. ""I am the chosen one""
3. ""I am, like, really smart""
4. ""I call her Pocahontas""
5. ""Impeachment is a hoax""
6. ""No quid pro quo""
7. ""No collusion""
8. ""I am a stable genius""
9. ""Climate change is a hoax""
10. ""Windmills because cancer","#coronavirus is fake.""I am the chosen one.""I call her Pocahontas.""Impeachment is a hoax.""I am a stable genius.""Climate change is a hoax.","#coronavirus is fake.""I am a really smart."
"The chance of a wrong result for a #COVID19 antibody-immunity test is ~90%. If it is negative, sometimes doctors will repeat the test. People who have had #coronavirus will have IgG antibodies in their blood and will very likely be immune to SARS-CoV-2 for at least a year.   6/8",The chance of a wrong result for a #COVID19 antibody-immunity test is 90.People who have had #coronavirus will have IgG antibodies in their blood and will very likely be immune to SARS-CoV-2 for at least a year.,The chance of a wrong result for a #COVID19 antibody-imm
@RepGalonski If you do not like #Hydroxychloroquine you will definitely not like adding #azythromycin to it. Because that is the cure. Obviously you do not want that so may be let Bill Gates inject you with with one of his viruses. Also do not take #Adrenochrome. That makes Covid 19 worse.#Qanon,If you do not like #Hydroxychloroquine you will definitely not like adding #azythromycin to it.that is the cure.That makes Covid 19 worse.,If you do not like #Hydroxychloroquine you will definitely not
The #COVID19 #pandemic reminds us that older people are at risk from infectious respiratory diseases - staying healthy and vaccinated against flu/pneumonia can help reduce the risk of hospitalisation &amp; we can all help protect them from #coronavirus,older people are at risk from infectious respiratory diseases.staying healthy and vaccinated against flu/pneumonia can help reduce the risk of hospitalisation.,older people are at risk from infectious respiratory diseases.
dear coronavirus cases grew to over 1000 tonight with at least 31 deaths virus has spread to 38 states can you tweet about 1 when are we going to get sufficient numbers of test kits amp 2 if the labs have the materials they need that would be helpful,coronavirus cases grew to over 1000 tonight with at least 31 deaths.virus has spread to 38 states.,coronavirus cases grew to over 1000 tonight with at least 31 deaths.virus has
"In a first, Germany is requesting the removal of the Trump appointed ambassador to Germany, Richard Grenell. They consider him to stoke racism and fascism on the country. that is where we are at, folks. The Germans want the American gone, because he is a Nazi. — Andrew James Gregor (@andrewjgregor) March 19, 2019","Germany is requesting the removal of the Trump appointed ambassador to Germany, Richard Grenell.They consider him to stoke racism and fascism on the country.Germans want the American gone, because he is a Nazi.","Germany is requesting the removal of the Trump appointed ambassador to Germany, Richard Grenell."
"#Coronaviruses is dangerous for people who have weaker immune systems, like young children and older adults. There are no vaccines to protect people from contracting a coronavirus. Work on boosting your immunity: https://t.co/owSArUQVm8 

#Immunity Wuhan Virus",#Coronaviruses is dangerous for people who have weaker immune systems.There are no vaccines to protect people from contracting a coronavirus.,"#Coronaviruses is dangerous for people who have weaker immune systems, like"
@MarshaBlackburn @WHO @DrTedros We need answers as to how our @POTUS could be so ill-informed as to muse out loud about disinfectant in the body as a source of a #COVID19 cure.  I do get why you would rather focus on something else. @WHO is a convenient scapegoat. Trump Press Conference,muse out loud about disinfectant in the body as a source of a #COVID19 cure.@WHO is a convenient scapegoat.,@POTUS could be so ill-informed as to muse out loud
We are aware that there is fake news circulating that garlic can prevent and/or cure the #Coronavirus. THIS IS FALSE! 📵[Issued by Western Cape Government,there is fake news circulating that garlic can prevent and/or cure the #Coronavirus.THIS IS FALSE.,garlic can prevent and/or cure the #Coronavirus.
breaking qantas to ground most of its a380 fleet reducing international capacity by almost a quarter for next six months ceo will take no salary for the rest of the fin year all because of coronavirus,a380 fleet reducing international capacity by almost a quarter for next six months.ceo will take no salary for the rest of the fin year.,qantas to ground most of its a380 fleet reducing international capacity by
US Senator @SenTomCotton says the virus originated in #Wuhan's Super Level Biosecurity Laboratory in #China and that China always lies because they created a deadly virus #COVID19 #SARSCoV2 in that laboratory and spread it around the World. Bio Weapon,the virus originated in #Wuhan's Super Level Biosecurity Laboratory in #China.China always lies.they created a deadly virus #COVID19 #SARSCoV2 in that laboratory and spread it around the World.,the virus originated in #Wuhan's Super Level Biosecurity Laboratory in #China.
#US orders group to stop selling #bleach 'miracle cure' for #coronavirus - US orders group to stop selling bleach 'miracle cure' for coronavirus,#US orders group to stop selling #bleach'miracle cure' for #coronavirus.US orders group to stop selling bleach'miracle cure' for coronavirus.,#US orders group to stop selling #bleach'miracle cure' for #
"Why are BBC smearing amazing Scientific results at prestigious US Laboratory which prove direct sunlight kills Coronavirus in 2mins?

BBC NOT INTERESTED IN FACTS
BBC HAS ANTI-TRUMP AGENDA  #DefundTheBBC #BBCBreakfast #bbcyourquestions #Covid19UK #gmb #lbc #talkradio #bbcfakenews",direct sunlight kills Coronavirus in 2mins.BBC NOT INTERESTED IN FACTS.BBC HAS ANTI-TRUMP AGENDA.,direct sunlight kills Coronavirus in 2mins.
#Trump now suggesting it might be useful to fight the virus by injecting ourselves with disinfectant. There will be a cure for Covid 19 but there are not no cure for stupid,fight the virus by injecting ourselves with disinfectant.There will be a cure for Covid 19.,#Trump now suggesting it might be useful to fight the virus by injecting ourselves with disinfect
"#MSM:
@POTUS says inject Lysol for #COVID19, ppl will do it &amp; DIE",inject Lysol for #COVID19.ppl will do it &amp; DIE.,"inject Lysol for #COVID19, ppl will do it &amp"
"Did the Wuhan Virus escape from China’s Bio Weapons lab? 
https://t.co/gkosElZQgI 
Dany Shoham, an Israeli biological warfare expert believes the virus had originated in a Wuhan laboratory linked to China’s secret biological weapons program.
#conoravirus Wuhan Coronovirus",Wuhan Virus escape from China’s Bio Weapons lab.the virus had originated in a Wuhan laboratory linked to China’s secret biological weapons program.,the virus had originated in a Wuhan laboratory linked to China’s secret biological weapons program
"Chinese in #Wuhan have bags over their heads to try to protect against the Public Scientific Institution created Bioweapon &amp; released by accident pandemic. News in that N95 masks DO NOT protect you from the virus, you need a full face Hazmat mask. 12 out of 100 people exposed Die","Chinese in #Wuhan have bags over their heads to try to protect against the Public Scientific Institution created Bioweapon &amp; released by accident pandemic.N95 masks DO NOT protect you from the virus, you need a full face Hazmat mask.12 out of 100 people exposed Die.",Chinese in #Wuhan have bags over their heads to try to protect against the Public Scientific
"#coronavirus #COVID Ends after this #may12

This has been proved and ends eventually we would be seeing cases descreasing and the affected patients would be cured miraculously.
corona ends May12
corona ends may12
corona ends may12
corona ends
ramdhan blessings",#coronavirus #COVID Ends after this #may12.we would be seeing cases descreasing and the affected patients would be cured miraculously.,This has been proved and ends eventually we would be seeing cases descreasing and the
"@globaltimesnews it is a Bio Weapon that got loose... Stop fooling yourselves about Bat Soup or Fucking Monkeys.  Wuhan, China has a Level 4 Biolab (Like CDC) that the Chinese use for storage and Testing of Biological Weapons. Somehow this Bug got Out",it is a Bio Weapon that got loose.China has a Level 4 Biolab (Like CDC) that the Chinese use for storage and Testing of Biological Weapons.,"it is a Bio Weapon that got loose.Wuhan, China has a Level"
Whistle blower said that evil #CCP intended to spread their new bio weapon #COVID19 in #HK to eliminate #HKprotests last september They even ran the #coronavirus drill at Wuhan airport in September to validate the bioweapon and drugs,#CCP intended to spread their new bio weapon #COVID19 in #HK.They even ran the #coronavirus drill at Wuhan airport in September.,#CCP intended to spread their new bio weapon #COVID19 in #HK.
"Where where you @WHO in November before the outbreak? What where you doing?? #coronavirus. 

You ignored and now people are dying Chinese Virus China Lied People Died 

China Must Pay for this, they used this as a bio weapon",people are dying.they used this as a bio weapon.,people are dying.
#Oklahomagovernor is kissing @realDonaldTrump ass a guy who says to inject Clorox &amp; drink Lysol to cure Covid 19  @GovStitt is a no brain fool who told us stay outside &amp; now wants to kill us so some business make $$ and in return dump $$ in his campaign @TheOklahoman_,#Oklahomagovernor is kissing @realDonaldTrump ass.inject Clorox &amp; drink Lysol to cure Covid 19.@GovStitt is a no brain fool who told us stay outside &amp; now wants to kill us.,inject Clorox &amp; drink Lysol to cure Covid 19.
"I have some good #news, #hydroxychloriquine can cure the #coronavirus. But, the problem is that it is not tested",#hydroxychloriquine can cure the #coronavirus.it is not tested.,#hydroxychloriquine can cure the #coronavirus.it is not
"About the virus... You will hear ""no evidence a mask prevents you from catching it"". Understand ""mask"" in public health-eze means those flimsy paper things that gap at the sides--those help you minimize spread to others. A tight fitting mask rated N95/N100 will minimize exposure",help you minimize spread to others.A tight fitting mask rated N95/N100 will minimize exposure.,"""no evidence a mask prevents you from catching it."
"@globaltimesnews Dis is a china master plan, 1st they spread china virus to world and they say they introduced vaccine https://t.co/P8dcc1t7s4  knows what vl be d future of Chinese",Dis is a china master plan.1st they spread china virus to world and they say they introduced vaccine.,Dis is a china master plan.they spread china virus to world.they introduced vaccine.
"Hospital Sungai Buloh will soon to be COVID-19 centre. May this effort be a paradigm for a better precaution to all Malaysians. we are arranging beds 100% for COVID-19 patients, &amp; re-distributing in-House patients to other Tertiary Hospital/District Hosp for continuation of care","Hospital Sungai Buloh will soon to be COVID-19 centre.we are arranging beds 100% for COVID-19 patients, &amp; re-distributing in-House patients to other Tertiary Hospital/District Hosp for continuation of care.",Hospital Sungai Buloh will soon to be COVID-19 centre.we
"No miracle cure for #COVID19: “There are side effects to hydroxychloroquine,” Prof @meganranney explains",No miracle cure for #COVID19.“There are side effects to hydroxychloroquine.,“There are side effects to hydroxychloroquine.
"@AnonBelgian #covid19 is a deadly virus for those at risk. Not just old people, anyone with preconditions.
The fact you or I can get immunity is a good response of our immune system, does not mean we are not contagious

Get 
https://t.co/ejOO9t8E1w
Some help","#covid19 is a deadly virus for those at risk. Not just old people, anyone with preconditions.The fact you or I can get immunity is a good response of our immune system, does not mean we are not contagious.",#covid19 is a deadly virus for those at risk.
@Lisavipes Just scrolled his news feed. I am pretty sude vitamin C kills coronavirus and left handed people will be safer in a right handed world if we are all quarantined. The randomness is amusing,vitamin C kills coronavirus.left handed people will be safer in a right handed world if we are all quarantined.,sude vitamin C kills coronavirus.left handed people will be safer in 
The lockdowns do not cure the virus. It WILL spread once the lockdown is over. that is ok as long as we do not overwhelm the hospitals,The lockdowns do not cure the virus.It WILL spread once the lockdown is over.,The lockdowns do not cure the virus.It WILL spread once the lockdown is
"@standardnews God has a cure for all Diseases.
King David Healing Anointing Oil.
A simple healing balm for everyone.

Say no to #Coronavirus
Say no to cancer
Say no HIV
Say no to diabetes 
Say no to tumor

Eternal life is real 

Dm if interested Say No To Death",God has a cure for all Diseases.Eternal life is real.,God has a cure for all Diseases.
What she says 👇🏼 One might add that there will not be a vaccine against climate change. Only a ‘life style’ change and a course correction will make it go away. Good news is we know the cure: #SDGs &amp; Paris Agreement. Needs to be integral part of 🌏 #COVID19 recovery. @SelwinHart,there will not be a vaccine against climate change.Only a ‘life style’ change and a course correction will make it go away.we know the cure.#SDGs &amp; Paris Agreement. Needs to be integral part of  #COVID19 recovery.,there will not be a vaccine against climate change.Only a ‘life style’
"BREAKING NEWS-
Injecting disinfectant into the body will destroy COVID-19, but it only works on Trump supporters. Also heat and light will destroy the virus. Put a hair dryer down your throat and a flashlight up your ass and you will be cured in 12 hours. (J/K)pls do not try this","Injecting disinfectant into the body will destroy COVID-19, but it only works on Trump supporters.heat and light will destroy the virus.Put a hair dryer down your throat and a flashlight up your ass and you will be cured in 12 hours.","Injecting disinfectant into the body will destroy COVID-19, but it only works"
"@JoeBiden This vile bag of flesh, @JoeBiden , took billions of dollars to surrender the you.S. to China, covered up China's use of infected Covid19 people as bio weapons against the you.S. and called Trump a racist for stopping it. When not sexually assaulting women, @JoeBiden kills Americans","@JoeBiden, took billions of dollars to surrender the you.S. to China.covered up China's use of infected Covid19 people as bio weapons against the you.S.called Trump a racist for stopping it.@JoeBiden kills Americans.","@JoeBiden, took billions of dollars to surrender the you."
"The president of Belarus is insisting that #vodka and saunas will cure the #coronavirus — while claiming nations that have gone into lockdown are in the throes of a “psychosis,”...“There are no viruses here,” (Alexander Lukashenko) said...“I do not see them.” NYPOST 3-30-20",#vodka and saunas will cure the #coronavirus.nations that have gone into lockdown are in the throes of a “psychosis.,The president of Belarus is insisting that #vodka and saunas will cure the #
@puneet_se This is Corona after effect...which is anyways viral in the world 😜😜😜. It prevents you from #coronavirus,This is Corona after effect.It prevents you from #coronavirus.,This is Corona after effect...which is anyways viral in the world.It prevents
todays coronavirus recap 110029 covid19 cases globally amp 3817 deaths 93 of cases in all of italy on lockdown in china 70 of cases recovered countries w community transmission should consider closing schools cancelling gatherings,110029 covid19 cases globally amp 3817 deaths 93 of cases in all of italy.lockdown in china.,110029 covid19 cases globally amp 3817 deaths 93 of cases in all of
"@CNN ?we are missing @drsanjaygupta is simplest of cures (chickensoup). Ozone or Ozone Therapy(OT),  or a combination purges  #COVID19 from the inside;  souring the milk so to speak; Is the way that you weaken (infectivity), and kill IT within the human body! Novel Coronavirus","Ozone or Ozone Therapy(OT), or a combination purges #COVID19 from the inside.Is the way that you weaken (infectivity), and kill IT within the human body.",?we are missing.
"Do not inject #bleach #clorox #lysol #tidepods. Those disinfectants will not cure 🦠#coronavirus #COVID19. Those will kill you!

U2 #Ultraviolet
Science light my way",Those disinfectants will not cure #coronavirus #COVID19.Those will kill you.,Those disinfectants will not cure #coronavirus #COVID19
"Fully enclosing the user, a PAPR consists of a hood or helmet and a filtered respirator to provide the wearer a constant flow of clean air. This positive pressure prevents entry of unfiltered air and protects the health worker from inhaling aerosolized #COVID19 particles",PAPR consists of a hood or helmet and a filtered respirator.positive pressure prevents entry of unfiltered air and protects the health worker from inhaling aerosolized #COVID19 particles.,This positive pressure prevents entry of unfiltered air and protects the health worker from inhal
"Whatever helps public health and prevents the spread of the disease is good and what helps to spread it is sin,"" #Khamenei said #coronavirus",Whatever helps public health and prevents the spread of the disease is good.what helps to spread it is sin.,Whatever helps public health and prevents the spread of the disease is good and what helps to spread
"@TimsRedPants @garethicke @blasphemybunny If you believe this virus is new. I think it has been around for at least a year, and loads of people are already immune to it. Lots of places in #Italy barely touched by Corona Virus. #Milan has lots of #Smog and loads of #5G",Lots of places in #Italy barely touched by Corona Virus.#Milan has lots of #Smog and loads of #5G.,"it has been around for at least a year, and loads of people are already immune to"
"@JohnCornyn Sen Cornyn, we need an independent investigation about the origin of the #coronavirus. Is this deadly virus a bio weapon from #China?? If we do nth, people who died from the virus will not forgive us! China Virus",this deadly virus a bio weapon from #China.people who died from the virus will not forgive us.,we need an independent investigation about the origin of the #coronavirus.
"Ibuprofen and Aleve will not help #COVID19 Tylenol is safe
The only thing a pain suffer that once was on opiates can take after surgery Went off of opiates 2014 No cure for ♿️Neuropathy",Ibuprofen and Aleve will not help #COVID19.Tylenol is safe.,Ibuprofen and Aleve will not help #COVID19.Ty
"@MrLekanAdigun I am dying of laughter reading comments here.
Some wailers are now the news of CoronaVirus is fake. Most of them re wailing bcos their expectation was cut short.
This people never disappoint",Some wailers are now the news of CoronaVirus is fake.Most of them re wailing bcos their expectation was cut short.,the news of CoronaVirus is fake.
@POTUS @CNN @UN @FBI @IsraeliPM @NIA_India @adgpi @INTERPOL_HQ @GermanyUN   #coronavirus is #chinabio  terrorists bombs which are invisible. To loot Earth loot civilization loot resources kill-nuke #life with bio weapon. Why world is sitting as lame Duck.  7 billion people pain,#coronavirus is #chinabio terrorists bombs.7 billion people pain.,#coronavirus is #chinabio terrorists bombs which are invisible.To
https://t.co/PfNwXsqITU  Ozone is a cure 😇 Calcium Hypochlorite Cures Disease 😇 Including COVID 19.. https://t.co/bakAkCTHNF 😇Swine flu cure 😇https://t.co/46updyPGxN 😇Brian Leonard Golightly Marshall ❤️ Covid 19 #injectingdisinfectant God always knows,Ozone is a cure.Calcium Hypochlorite Cures Disease  Including COVID 19.,Ozone is a cure.
"@tamilravi This seems to be a bioware.. 

Source of the virus china , it should know the consequences.. like communal spread.. china should lockdown its international passengers and quarantine them",This seems to be a bioware.Source of the virus china.,This seems to be a bioware.. Source of the virus china.
RT @FreedomWatchUSA: $20 Trillion Lawsuit Against China! US Group Says Coronavirus Is Bioweapon,$20 Trillion Lawsuit Against China.US Group Says Coronavirus Is Bioweapon.,$20 Trillion Lawsuit Against China.Coronavirus Is Bioweapon
"Trump used his briefing 2 suggest that injecting Lysol into the body could cure COVID-19. This means that not only do we have 2 keep ourselves safe from a virus, we also have 2 protect ourselves from the lethal messages coming from the leader of the free world. THIS IS NOT NORMAL",injecting Lysol into the body could cure COVID-19.THIS IS NOT NORMAL.,injecting Lysol into the body could cure COVID-19.
"I can supply ICU ventilators, UV lysol glow cure for #COVID19 &amp; monkey-squirrel vaccines contra #Coronavirus

Send me $69 billion, stat",I can supply ICU ventilators.UV lysol glow cure for #COVID19.monkey-squirrel vaccines contra #Coronavirus.,"I can supply ICU ventilators, UV lysol glow cure for #COVI"
did you all know that there are 96950 cases of covid19 right now did you all know 3308 people have died from it but did you all know that 53981 of these cases have already recovered stop letting the media control your brain scare tactics are real tactics do your research,there are 96950 cases of covid19 right now did you all know 3308 people.3308 people have died from it.53981 of these cases have already recovered.,there are 96950 cases of covid19 right now.3308 people have died from
"@NorthmanTrader Until you see the words ""contained"" or ""cure"" for the Wuhan stuff expect the market to be down as it gets worse before it gets better","Until you see the words ""contained"" or ""cure"" for the Wuhan stuff expect the market to be down.it gets worse before it gets better.","Until you see the words ""contained"" or ""cure"" for the Wuhan"
"This is deadly serious:  Talking about corona-virus this morning, Trump said, 'We closed it down. We stopped it.'  There were 15 confirmed cases in the US a week ago.  There are 233 today.  There will be *5,000* in a week  TRUMP'S INCOMPETENCE KILLS","'We closed it down. We stopped it.There were 15 confirmed cases in the US a week ago.There are 233 today.There will be *5,000* in a week.",There were 15 confirmed cases in the US a week ago.There are 233 today.
